find,photos
10,426_57181-A003+048.jpg
100,439_57194-A079+092.JPG
101,431_57186-A055+080+093+192.JPG
102,438_57193-A073+082+094.JPG
103,437_57192-A072+095+100+233.JPG
104,"442_57197-BE09_0096-A-096+0106-A-106+0196-A-196_a.JPG, 442_ir_57197-A096+106+196.JPG"
105,443_57198-A097+104.JPG
106,324_57053_gray.tif
107,325_57054-BE09_0099-A-099_b.JPG
108,437_57192-A072+095+100+233.JPG
109,326_57055-BE09_0101-A-101_a.JPG
11,428_57183-A004+159.jpg
110,"441_57196-BE09_0091-A-091+0102-A102+0105-A-105+0185-A185_a.JPG, 441_57196-A091+102+105+185.JPG"
111,414_57169-A103+191.JPG
112,443_57198-A097+104.JPG
113,"441_57196-BE09_0091-A-091+0102-A102+0105-A-105+0185-A185_a.JPG, 441_57196-A091+102+105+185.JPG"
114,"442_57197-BE09_0096-A-096+0106-A-106+0196-A-196_a.JPG, 442_ir_57197-A096+106+196.JPG"
115,327_57056-BE09_0107-A-107_a.JPG
116,"433_57188-BE09_0059-A-059+0108-A-108+0121-a-121+0182-A-182_a.JPG, 433_ir_57188-A59+108+121+182.JPG"
117,328_57057-BE09_0109-A-109_a.JPG
118,329_57058-BE09_0110-A-110_b.JPG
119,330_57059-BE09_0111-A-111_a.JPG
12,276_57003-BE09_0005-A-005_b.JPG
120,"331_57060-BE09_0112-A-112_a.JPG, 331_detail_57060-BE09_0112-A-112_e.JPG"
121,332_57061_gray.tif
122,429_57184-A043+114.JPG
123,333_57062_gray.tif
124,420_57175-A017+018+116.JPG
125,334_57063-BE09_0117-A-117_a.JPG
126,57064-BE09_0118-A-118_a.JPG
127,335_57065-BE09_0119-A-119_a.JPG
128,336_57066_gray.tif
129,"433_57188-BE09_0059-A-059+0108-A-108+0121-a-121+0182-A-182_a.JPG, 433_ir_57188-A59+108+121+182.JPG"
13,277_57004-BE09_0006-A-006_b.JPG
130,"440_57195-BE09_0081-A-081+0122-A-122+0125-A-125_a.JPG, 440_ir_57195-A081+122+125.jpg"
131,415_57170-BE09_0123-A-123+183.jpg
132,337_57067-BE09_0124-A-124_a.JPG
