"find::id","picture:id","picture::type","picture::size","picture::file","picture::path","photo author","photo2","photo author 2","drawing no","drawing author","drawing"
,,,,,,"vielleicht eigene Tabelle?","vielleicht eigene Tabelle?","vielleicht eigene Tabelle?",,,
12905,1,"photo","1003,1355","BE97_lamps/BE97-10_090_PB250_5001-G-013_01baza.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE97_lamps/BE97-10_090_PB250_5001-G-013_01baza.jpg","Zych, I. (2010)",,"BE97-10_090_PB250_5001-G-013_01baza.jpg","BE13_drawing083_lamps.jpg","Zych, I. (2013)",
105,2,"photo","1012,1536","BE09_OSTRACON/BE09_0097-A-097+0104-A-104_a.JPG","/F:/BE14_nowa baza danych WYJAŚNIĆ/BE09_OSTRACON/BE09_0097-A-097+0104-A-104_a.JPG",,"size:3872,2592
image:BE09_OSTRACON/BE09_0097-A-097_c.JPG
imagewin:/F:/BE14_nowa baza danych WYJAŚNIĆ/BE09_OSTRACON/BE09_0097-A-097_c.JPG","BE09_0097-A-097+0104-A-104_a.JPG","tray 15",,
7868,3,"photo","1016,1012","BE11_lamps/BE11-76_003_016_01baza.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE11_lamps/BE11-76_003_016_01baza.jpg",,"size:1077,1083
image:BE11_lamps/BE11-76_003_016_02baza.jpg
imagewin:/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE11_lamps/BE11-76_003_016_02baza.jpg","BE11-76_003_016_01baza.jpg; BE11-76_003_016_02baza.jpg",,,
14960,4,"photo","1016,1242","BE14_lamps/BE14-96_006_026_PB010_01baza.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE14_nowa baza danych/BE14_lamps/BE14-96_006_026_PB010_01baza.jpg","Zych, I. (2014)",,"BE14-96_006_026_PB010_01baza.jpg",,,
12799,5,"photo","1016,737","BE00_lamps/BE00-10_999_PB880_baza.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE00_lamps/BE00-10_999_PB880_baza.jpg","Zych, I. (2010)",,"BE00-10_999_PB880_baza.jpg","BE13_drawing090_lamps.jpg","Zych, I. (2013)",
12940,6,"photo","1025,1197","BE97_lamps/BE97-13_002_013_2660-G_01baza.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE97_lamps/BE97-13_002_013_2660-G_01baza.jpg","Zych, I. (2010)",,"BE97-13_002_013_2660-G_01baza.jpg","BE13_drawing085_lamps.jpg","Zych, I. (2013)",
12848,7,"photo","1025,1345","BE00_lamps/BE00-33_999_PB075_4a_baza.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE00_lamps/BE00-33_999_PB075_4a_baza.jpg","Zych, I. (2010)","size:2816,2112
image:BE00_lamps/BE00-33_999_PB075_4a_01.JPG
imagewin:/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE00_lamps/BE00-33_999_PB075_4a_01.JPG","BE00-33_999_PB075_4a_baza.jpg",,"Zych, I. (2013)",
9104,8,"photo","1029,683","BE12_coin/BE12-999-003_Rev_g_DSC_1001.JPG","/F:/BE14_nowa baza danych WYJAŚNIĆ/BE12_coin/BE12-999-003_Rev_g_DSC_1001.JPG",,"size:4288,2848
image:BE12_coin/BE12-999-003_Obv_f_DSC_0958.JPG
imagewin:/F:/BE14_nowa baza danych WYJAŚNIĆ/BE12_coin/BE12-999-003_Obv_f_DSC_0958.JPG","BE12-999-003_Rev_g_DSC_1001.JPG",,,
8165,9,"photo","1029,683","BE12_coin/BE12-999-004_Obv_b_DSC_0224.jpg","/F:/BE14_nowa baza danych WYJAŚNIĆ/BE12_coin/BE12-999-004_Obv_b_DSC_0224.jpg",,"size:683,1029
image:BE12_coin/BE12-999-004_Rev_a_DSC_0227.jpg
imagewin:/F:/BE14_nowa baza danych WYJAŚNIĆ/BE12_coin/BE12-999-004_Rev_a_DSC_0227.jpg","BE12-999-004_Obv_b_DSC_0224.jpg",,,
10146,10,"photo","1029,683","BE12_OSTRACON/BE12-84_002_005_AST_5565b.jpg","/F:/BE14_nowa baza danych WYJAŚNIĆ/BE12_OSTRACON/BE12-84_002_005_AST_5565b.jpg",,"size:1029,683
image:BE12_OSTRACON/BE12-84_002_005_AST_5565a.jpg
imagewin:/F:/BE14_nowa baza danych WYJAŚNIĆ/BE12_OSTRACON/BE12-84_002_005_AST_5565a.jpg","BE12-84_002_005_AST_5565b.jpg",,,
9708,11,"photo","1029,683","BE12_OSTRACON/BE12-84_013_004_AST_5401a.JPG","/F:/BE14_nowa baza danych WYJAŚNIĆ/BE12_OSTRACON/BE12-84_013_004_AST_5401a.JPG",,"size:1029,683
image:BE12_OSTRACON/BE12-84_013_004_AST_5401b.jpg
imagewin:/F:/BE14_nowa baza danych WYJAŚNIĆ/BE12_OSTRACON/BE12-84_013_004_AST_5401b.jpg","BE12-84_013_004_AST_5401a.JPG",,,
10480,12,"photo","1029,683","BE12_OSTRACON/BE12-84_013_007_AST_5409a.jpg","/F:/BE14_nowa baza danych WYJAŚNIĆ/BE12_OSTRACON/BE12-84_013_007_AST_5409a.jpg",,"size:4288,2848
image:BE12_OSTRACON/BE12-84_013_007_AST_5409.JPG
imagewin:/F:/BE14_nowa baza danych WYJAŚNIĆ/BE12_OSTRACON/BE12-84_013_007_AST_5409.JPG","BE12-84_013_007_AST_5409a.jpg",,,
10479,13,"photo","1029,683","BE12_OSTRACON/BE12-84_013_008_AST_5421a.jpg","/F:/BE14_nowa baza danych WYJAŚNIĆ/BE12_OSTRACON/BE12-84_013_008_AST_5421a.jpg",,"size:4288,2848
image:BE12_OSTRACON/BE12-84_013_008_AST_5421.JPG
imagewin:/F:/BE14_nowa baza danych WYJAŚNIĆ/BE12_OSTRACON/BE12-84_013_008_AST_5421.JPG","BE12-84_013_008_AST_5421a.jpg",,,
9988,14,"photo","1029,683","BE12_OSTRACON/BE12-84_017_003_AST_5557.jpg","/F:/BE14_nowa baza danych WYJAŚNIĆ/BE12_OSTRACON/BE12-84_017_003_AST_5557.jpg",,"size:1029,683
image:BE12_OSTRACON/BE12-84_017_003_AST_5558a.jpg
imagewin:/F:/BE14_nowa baza danych WYJAŚNIĆ/BE12_OSTRACON/BE12-84_017_003_AST_5558a.jpg","BE12-84_017_003_AST_5557.jpg",,,
10360,15,"photo","1029,683","BE12_OSTRACON/BE12-84_999_010_AST_5386.JPG","/F:/BE14_nowa baza danych WYJAŚNIĆ/BE12_OSTRACON/BE12-84_999_010_AST_5386.JPG",,"size:1029,683
image:BE12_OSTRACON/BE12-84_999_010_AST_5387a.jpg
imagewin:/F:/BE14_nowa baza danych WYJAŚNIĆ/BE12_OSTRACON/BE12-84_999_010_AST_5387a.jpg","BE12-84_999_010_AST_5386.JPG",,,
